"Episode";"Sequence";"Name";"Description";"Frame In";"Frame Out";"Storyboard";"Assignations";"AI-concept";"Assignations";"Animation";"Assignations"
"E202";"SQ0010";"0010";;"1001";"1495";"done";"";"todo";"";"todo";""
"E202";"SQ0010";"0020";;"1001";"1488";"done";"";"todo";"";"todo";""
"E202";"SQ0010";"0030";;"1001";"1850";"done";"";"todo";"";"todo";""
"E202";"SQ0020";"0010";;"1001";"1341";"done";"";"todo";"";"todo";""
"E202";"SQ0020";"0020";;"1001";"1440";"done";"";"todo";"";"todo";""
"E202";"SQ0020";"0030";;"1001";"1479";"done";"";"todo";"";"todo";""
"E202";"SQ0020";"0040";;"1001";"1552";"done";"";"todo";"";"todo";""
"E202";"SQ0020";"0050";;"1001";"1382";"done";"";"todo";"";"todo";""
"E202";"SQ0020";"0060";;"1001";"1660";"done";"";"todo";"";"todo";""
"E202";"SQ0020";"0070";;"1001";"1233";"done";"";"todo";"";"todo";""
"E202";"SQ0020";"0080";;"1001";"1823";"done";"";"todo";"";"todo";""
"E202";"SQ0020";"0090";;"1001";"1391";"done";"";"todo";"";"todo";""
"E202";"SQ0020";"0100";;"1001";"1532";"done";"";"todo";"";"todo";""
"E202";"SQ0020";"0110";;"1001";"1439";"done";"";"todo";"";"todo";""
"E202";"SQ0030";"0010";;"1001";"1949";"done";"";"todo";"";"todo";""
"E202";"SQ0030";"0020";;"1001";"1489";"done";"";"todo";"";"todo";""
"E202";"SQ0030";"0030";;"1001";"1362";"done";"";"todo";"";"todo";""
"E202";"SQ0030";"0040";;"1001";"1346";"done";"";"todo";"";"todo";""
"E202";"SQ0030";"0050";;"1001";"1634";"done";"";"todo";"";"todo";""
"E202";"SQ0030";"0060";;"1001";"1514";"done";"";"todo";"";"todo";""
"E202";"SQ0040";"0010";;"1001";"1387";"done";"";"todo";"";"todo";""
"E202";"SQ0040";"0020";;"1001";"1266";"done";"";"todo";"";"todo";""
"E202";"SQ0040";"0030";;"1001";"1232";"done";"";"todo";"";"todo";""
"E202";"SQ0040";"0040";;"1001";"1531";"done";"";"todo";"";"todo";""
"E202";"SQ0040";"0050";;"1001";"2069";"done";"";"todo";"";"todo";""
"E202";"SQ0040";"0060";;"1001";"1660";"done";"";"todo";"";"todo";""
"E202";"SQ0040";"0070";;"1001";"1175";"done";"";"todo";"";"todo";""
